handle,title,collection_tier,scent_family_detailed,platform_type,platform_material,visual_world,visual_world_week,dip_layer_moral,color_palette_hex_codes,lighting_spec,lighting_direction,depth_of_field,composition_style,aspect_ratio_primary,shadow_treatment,image_type_primary,archetype_hero_enabled,archetype_flatlay_enabled,archetype_lived_enabled,archetype_travel_enabled,archetype_environmental_enabled,archetype_ritual_enabled,hero_primary_artifacts,hero_artifact_placement,flatlay_ingredients,lived_life_context,travel_context,environmental_location,ritual_skin_tone,textile_backdrop,moral_philosophy,philosophy_keywords,semantic_categories,approved_descriptors,primary_avatar,avatar_motivation,use_case_primary,occasion_tags,transparency_statement,craftsmanship_term,ingredient_disclosure,notes_top,notes_middle,notes_base,longevity_hours,sillage_description,prompt_template_id,use_case_templates
granada-amber,Granada Amber,reserve,warm_oriental_floral,reserve_warm_platform,marble_veined_sandstone_gold_leaf,desert_sands,1,conscious_custodianship,"amber_gold_D4AF37, sandstone_beige_D8C8A9, saffron_red_D2691E, museum_charcoal_3D3D3D",museum_gallery_3200K,upper_left_45_degrees,f2.8,centered_hero_30pct_negative_space,1:1_square,deep_warm_dramatic,studio_editorial_packshot,YES,YES,YES,YES,YES,YES,"rare_amber_copal_large, antique_crystal_vial, vintage_brass_scale",left_foreground,"amber_copal_translucent, saffron_threads_handblown_glass, gold_leaf_sheets_scattered, leather_journal_embossed, silk_burgundy_cloth",evening_ritual_private_library_fire,vintage_leather_trunk_world_traveler,andalusian_palace_courtyard_golden_hour,deep_warm_brown_8B5A3C,deep_burgundy_silk_8B0000,conscious_custodianship,"principled, rare, museum-quality, handcrafted, precious, documented, trust-based","2,5,6,14","amber-lit, burnished, gold-leaf, concentrated, distilled, honeyed, amber-toned, trust-based, rare",elias_aesthete,story_emotion_complexity,"evening_sophistication, signature_scent, special_occasion, luxury_statement","special_occasion, date_night, luxury, statement_scent, heritage, collector",From The Reserve Collection—handcrafted with 90-98% rare natural ingredients enhanced with minimal aromachemicals for longevity. Small-batch limited availability.,handcrafted,mostly_natural_minimal_aromachemicals,"Saffron, Bergamot","Rose Absolute, Labdanum, Amber","Oud, Vanilla Absolute, Musk, Ambergris",12-14,"Bold presence, enveloping and luxurious",reserve_warm_elevated,"homepage_hero_desktop, product_page_clean, email_header_banner, social_square_1x1"
sicilian-oudh,Sicilian Oudh,humanities,woody_citrus_bold,humanities_woody_platform,raw_fractured_sandstone_moss_cracks,mountain_vistas,4,quiet_rebellion,"stone_gray_7A7A7A, forest_green_4A5D4A, sicilian_lemon_FFF44F, charcoal_2F2A26",overcast_natural_4500K,side_lighting_left_dramatic,f5.6,centered_hero_dark_moody,1:1_square,deep_noir_mysterious,studio_editorial_packshot,YES,YES,YES,YES,YES,NO,"oud_wood_chips_dark, dried_lemon_peel, leather_cord_aged",left_foreground_organic,"oud_chips_dark, bergamot_peel_dried, pink_peppercorns, leather_fragments, vetiver_roots_dried, brass_mortar",evening_cocktail_rooftop_urban,vintage_leather_bag_urban_explorer,sicilian_countryside_stone_citrus_grove,none,charcoal_wool_felt_2F2A26,quiet_rebellion,"bold, sovereign, citrus-bright, uncompromising, self-possessed, urban, contemporary","3,8,9,13","citrus-bright, oud-dark, leather-worn, vetiver-dry, bold, steadfast, unfolds, deepens",elias_aesthete,story_emotion_complexity,"fall_winter_warmth, signature_scent, urban_sophistication, masculine_confidence","evening, urban_adventure, bold_statement, masculine_confidence, contemporary",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Davana, Bergamot, Pink Pepper","White Amber, African Rosemary","Oud, Leather, Vetiver",10-12,"Bold presence, citrus-woody complexity",humanities_woody_master,"social_square_1x1, product_page_clean, email_header_banner, mobile_hero_vertical"
oudh-lavender,Oudh Lavender,humanities,woody_herbal_aromatic,humanities_woody_platform,raw_fractured_sandstone_moss_cracks,mountain_vistas,4,grounded_presence,"stone_gray_7A7A7A, forest_green_4A5D4A, lavender_purple_9370DB, charcoal_2F2A26",overcast_natural_4500K,side_lighting_left_dramatic,f5.6,centered_hero_dark_moody,4:5_mobile_vertical,deep_noir_mysterious,studio_editorial_packshot,YES,YES,YES,NO,YES,YES,"dried_lavender_bundles_natural_twine, oud_chips_dark, stone_mortar",left_foreground_organic,"dried_lavender_bundles, oud_chips_dark, dried_moss_patches, leather_cord, pine_needles, brass_mortar",evening_meditation_mountain_cabin,mountain_hiking_adventure_journey,alpine_meadow_lavender_field_dusk,golden_tan_C9A87C,charcoal_wool_felt_2F2A26,grounded_presence,"grounded, calming, meditative, centered, herbal, natural, rooted","3,8,9,13","herb-crushed, lavender-clean, oud-dark, mossy, forest-floor, grounded, centered, calming",conscious_custodian_both,integrity_alignment_truth,"meditation_ritual, evening_sophistication, masculine_calm, daily_grounding","meditation, evening, relaxation, masculine_sensitivity, herbal_lover, grounding",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Lavender, Bergamot","Oud, Clary Sage, Vetiver","Cedar, Amber, Musk",8-10,"Grounded presence, herbal and meditative",humanities_woody_master,"product_page_clean, mobile_hero_vertical, social_square_1x1, instagram_stories_vertical"
kyoto-musk,Kyoto Musk,humanities,warm_floral_powdery,humanities_floral_platform,smooth_garden_sandstone_pink_deposits,floral_highlands,3,truth_integrity,"sandstone_beige_D8C8A9, petal_pink_E8C4D4, soft_white_musk_FAFAF5, cherry_blossom_FFB7C5",soft_directional_morning_4200K,upper_right_diffused,f2.0,rule_of_thirds_off_center,4:5_mobile_vertical,gentle_natural_soft,studio_editorial_packshot,YES,YES,YES,YES,NO,YES,"fresh_lily_single_stem, rose_quartz_small, white_cotton_folded",scattered_organic_right,"lily_petals_white, white_musk_crystals, cherry_blossom_dried, garden_stone_smooth, silk_ribbon_cream",morning_tea_ceremony_minimal_room,none,kyoto_zen_garden_cherry_blossom,warm_olive_beige_D4B896,white_cotton_handwoven,truth_integrity,"serene, pure, minimal, whisper-soft, meditative, honest, powdery","3,4,10,13","petal-soft, powdery, whisper-close, breath-near, blooms, centered, serene, intimate",emily_essentialist,quality_provenance_minimalism,"meditation_ritual, daily_elegance, feminine_grace, spring_summer_fresh","meditation, self_care, feminine, spring, minimalist_lifestyle, zen_aesthetic",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,Lily,"White Musk, Ambroxan","Musk, Powdery Notes",6-8,"Intimate sillage, whisper-soft and serene",humanities_floral_master,"mobile_hero_vertical, product_page_clean, social_square_1x1, instagram_stories_vertical"
seville-neroli,Seville Neroli,humanities,fresh_citrus_floral,humanities_fresh_platform,smooth_concrete_limestone_cool_gray,mediterranean_waters,2,grounded_presence,"weathered_driftwood_A8A19C, orange_blossom_FFA500, linen_white_F5F5F0, terracotta_C7522A",coastal_morning_5000K,soft_top_frontal,f4.0,centered_hero_clean_modern,4:5_mobile_vertical,soft_minimal_clean,studio_editorial_packshot,YES,YES,YES,YES,YES,YES,"dried_orange_slices, brass_compass, terracotta_bowl_small",right_side_geometric,"orange_blossom_fresh, bergamot_peel, neroli_oil_vial, linen_cloth_white, terracotta_fragment",morning_breakfast_spanish_courtyard,vintage_bicycle_seville_streets,spanish_courtyard_orange_trees_fountain,warm_medium_brown_A67C52,weathered_sailcloth_off_white,grounded_presence,"bright, uplifting, citrus-fresh, centered, joyful, mediterranean, sunny","3,4,7,10","neroli-bright, orange-blossom, citrus-sharp, petal-soft, crisp, centered, sun-warmed, mediterranean",conscious_custodian_both,integrity_alignment_truth,"spring_summer_fresh, daily_elegance, travel_adventure, professional_setting","travel, spring, summer, daytime, citrus_lover, uplifting, professional",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Neroli, Bergamot, Petitgrain","Orange Blossom, Jasmine","White Musk, Ambrox",8-10,"Intimate sillage, bright and citrus-floral",humanities_fresh_master,"mobile_hero_vertical, product_page_clean, social_square_1x1, instagram_stories_vertical"
black-oudh,Black Oudh,humanities,woody_oud_intense,humanities_woody_platform,raw_fractured_sandstone_moss_cracks,mountain_vistas,4,quiet_rebellion,"onyx_black_000000, stone_gray_7A7A7A, deep_charcoal_2F2A26, forest_green_4A5D4A",overcast_natural_4500K,side_lighting_left_dramatic,f5.6,centered_hero_dark_moody,1:1_square,deep_noir_mysterious,studio_editorial_packshot,YES,YES,YES,YES,YES,NO,"oud_wood_chips_dark_large, charred_wood_fragment, iron_stake",left_foreground_organic,"oud_chips_premium_dark, black_peppercorns, charred_wood_pieces, leather_cord_thick, stone_mortar_black, iron_fragments",evening_private_study_single_malt,mountain_expedition_peak_summit,desert_night_starlit_dunes_fire,none,onyx_black_wool,quiet_rebellion,"bold, intense, uncompromising, sovereign, powerful, dark, primal","8,9,13,14","oud-dark, smoke-tinged, primal, intense, charred, grounded, sovereign, powerful",elias_aesthete,story_emotion_complexity,"evening_sophistication, signature_scent, masculine_intensity, fall_winter_warmth","special_occasion, evening, bold_statement, masculine_intensity, power_scent, luxury",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Black Pepper, Cardamom","Oud, Incense, Leather","Oud, Amber, Vetiver, Musk",12-14,"Bold commanding presence, intense and dark",humanities_woody_master,"social_square_1x1, product_page_clean, email_header_banner"
cairo-musk,Cairo Musk,humanities,warm_amber_musk,humanities_warm_platform,weathered_sandstone_beige_terracotta_veining,desert_sands,1,conscious_custodianship,"sandstone_beige_D8C8A9, terracotta_C7522A, amber_gold_D4AF37, incense_smoke_8B8680",chiaroscuro_golden_hour_3500K,upper_left_45_degrees,f2.8,centered_hero_30pct_negative_space,1:1_square,deep_warm_dramatic,studio_editorial_packshot,YES,YES,YES,YES,YES,YES,"brass_incense_burner, amber_resin_chunks, prayer_beads_amber",left_foreground,"amber_resin_chunks, incense_sticks_natural, frankincense_tears, labdanum_resin, brass_mortar_hammered",evening_prayer_candlelit_sanctuary,desert_caravan_journey_merchant,cairo_mosque_courtyard_sunset,deep_warm_brown_8B5A3C,raw_linen_sand_color_D8C8A9,conscious_custodianship,"spiritual, incense-rich, meditative, principled, ancient, sacred, trust-based","2,6,12,14","incense-like, amber-toned, sun-baked, resinous, sacred, ancient-earth, temple-quiet, burnished",conscious_custodian_both,integrity_alignment_truth,"evening_sophistication, meditation_ritual, spiritual_connection, signature_scent","prayer, meditation, evening, spiritual, heritage, middle_eastern, contemplative",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Incense, Bergamot","Amber, Labdanum, Musk","Frankincense, Vanilla, Musk",10-12,"Grounded presence, warm and meditative",humanities_warm_master,"mobile_hero_vertical, product_page_clean, social_square_1x1, email_header_banner"
mukhallat-shafi,Mukhallat Shafi,reserve,warm_oriental_complex,reserve_warm_platform,marble_veined_sandstone_gold_leaf,desert_sands,1,conscious_custodianship,"amber_gold_D4AF37, sandstone_beige_D8C8A9, rose_absolute_8B0046, saffron_red_D2691E",museum_gallery_3200K,upper_left_45_degrees,f2.8,centered_hero_30pct_negative_space,1:1_square,deep_warm_dramatic,studio_editorial_packshot,YES,YES,YES,YES,YES,YES,"rare_oud_chip_museum_quality, saffron_threads_silver_dish, antique_perfume_bottle",left_foreground,"oud_chips_premium, rose_petals_damascus_fresh, saffron_threads_pure, amber_copal_rare, musk_crystals, gold_leaf_sheets",evening_wedding_celebration_opulent,hajj_pilgrimage_journey_mecca,mecca_grand_mosque_night_illuminated,warm_medium_brown_A67C52,silk_cream_embroidered_gold,conscious_custodianship,"sacred, traditional, complex, rare, principled, heritage, masterful","2,5,6,10,14","concentrated, rose-noble, saffron-tinged, oud-sacred, amber-warm, trust-based, masterful, rare",conscious_custodian_both,integrity_alignment_truth,"special_occasion, spiritual_connection, signature_scent, luxury_heritage","wedding, special_occasion, spiritual, heritage, luxury, middle_eastern, collector",From The Reserve Collection—handcrafted with 90-98% rare natural ingredients enhanced with minimal aromachemicals for longevity. Small-batch limited availability.,handcrafted,mostly_natural_minimal_aromachemicals,"Rose, Saffron","Oud, Musk, Amber","Oud, Sandalwood, Ambergris, Musk",12-14,"Bold enveloping presence, sacred complexity",reserve_warm_elevated,"homepage_hero_desktop, product_page_clean, email_header_banner, social_square_1x1"
sandalwood-rose,Sandalwood Rose,humanities,floral_woody_balanced,humanities_floral_platform,smooth_garden_sandstone_pink_deposits,floral_highlands,3,truth_integrity,"sandstone_beige_D8C8A9, petal_pink_E8C4D4, sandalwood_tan_D2B48C, garden_stone_B8B8AA",soft_directional_morning_4200K,upper_right_diffused,f2.0,rule_of_thirds_off_center,4:5_mobile_vertical,gentle_natural_soft,studio_editorial_packshot,YES,YES,YES,NO,NO,YES,"fresh_rose_petals_pink, sandalwood_chips, carved_wooden_box",scattered_organic_right,"rose_petals_damascus, sandalwood_chips_mysore, garden_stone_smooth, carved_wooden_box_small, silk_ribbon_pink",evening_romantic_dinner_rose_garden,none,indian_temple_sandalwood_carved,warm_olive_beige_D4B896,soft_pink_silk_E8C4D4,truth_integrity,"balanced, harmonious, traditional, natural, documented, authentic, refined","3,5,9,10","petal-soft, rose-noble, sandalwood-soft, blooms, woody-warm, balanced, distilled, traditional",emily_essentialist,quality_provenance_minimalism,"evening_sophistication, romantic_moments, signature_scent, feminine_grace","date_night, romantic, evening, special_occasion, feminine, balanced_scent",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Rose, Bergamot","Rose Absolute, Sandalwood","Sandalwood, Musk, Amber",8-10,"Intimate sillage, balanced floral-woody",humanities_floral_master,"mobile_hero_vertical, product_page_clean, social_square_1x1, instagram_stories_vertical"
blue-oud-elixir,Blue Oud Elixir,humanities,woody_oud_floral,humanities_woody_platform,raw_fractured_sandstone_moss_cracks,mountain_vistas,4,quiet_rebellion,"midnight_blue_191970, stone_gray_7A7A7A, butterfly_pea_4169E1, charcoal_2F2A26",overcast_natural_4500K,side_lighting_left_dramatic,f5.6,centered_hero_dark_moody,1:1_square,deep_noir_mysterious,studio_editorial_packshot,YES,YES,YES,YES,YES,NO,"oud_wood_chips_premium_light, blue_butterfly_pea_dried, carved_stone_fragment",left_foreground_organic,"oud_chips_indonesian_white, butterfly_pea_flowers_dried, jasmine_blooms_white, stone_mortar_ancient, brass_bowl_small",evening_mystical_candlelit_study,vintage_trunk_spice_merchant_journey,indonesian_temple_incense_blue_smoke,deep_warm_brown_8B5A3C,midnight_blue_silk,quiet_rebellion,"mystical, rare, sovereign, exotic, self-possessed, bold, unique","5,9,10,13","oud-sacred, jasmine-white, rare, distilled, mystical, sovereign, bold, floral-bright",elias_aesthete,story_emotion_complexity,"evening_sophistication, special_occasion, signature_scent, mystical_allure","special_occasion, evening, mystical, rare_scent, collector, bold_statement",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,White Oud,Sweet Florals,"Oud, Musk",10-12,"Bold presence, mystical and floral",humanities_woody_master,"social_square_1x1, product_page_clean, email_header_banner"
majmua-attar,Majmua Attar,humanities,floral_oriental_traditional,humanities_floral_platform,smooth_garden_sandstone_pink_deposits,floral_highlands,3,truth_integrity,"sandstone_beige_D8C8A9, saffron_gold_D4AF37, rose_pink_FF69B4, garden_stone_B8B8AA",soft_directional_morning_4200K,upper_right_diffused,f2.0,rule_of_thirds_off_center,4:5_mobile_vertical,gentle_natural_soft,studio_editorial_packshot,YES,YES,YES,NO,YES,YES,"brass_attar_deg_traditional, rose_petals_mixed_colors, saffron_threads",scattered_organic_right,"rose_petals_mixed, jasmine_blooms, saffron_threads, sandalwood_chips, brass_mortar_traditional, clay_pot_indian",morning_prayer_rose_garden_temple,none,kannauj_attar_distillery_traditional,warm_olive_beige_D4B896,silk_saffron_gold,truth_integrity,"traditional, sacred, complex, documented, heritage, authentic, masterful","3,5,10,14","rose-noble, saffron-tinged, concentrated, distilled, traditional, sacred, trust-based, complex",emily_essentialist,quality_provenance_minimalism,"spiritual_connection, special_occasion, signature_scent, heritage_tradition","prayer, wedding, special_occasion, spiritual, traditional, indian_heritage, collector",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Rose, Saffron","Jasmine, Sandalwood, Spices","Musk, Amber, Oud",10-12,"Intimate sillage, complex and traditional",humanities_floral_master,"mobile_hero_vertical, product_page_clean, social_square_1x1, instagram_stories_vertical"
jannatul-firdaus,Jannatul Firdaus,humanities,floral_amber_musk,humanities_floral_platform,smooth_garden_sandstone_pink_deposits,floral_highlands,3,grounded_presence,"sandstone_beige_D8C8A9, petal_pink_E8C4D4, amber_gold_D4AF37, white_jasmine_FFFEF0",soft_directional_morning_4200K,upper_right_diffused,f2.0,rule_of_thirds_off_center,4:5_mobile_vertical,gentle_natural_soft,studio_editorial_packshot,YES,YES,YES,YES,NO,YES,"fresh_jasmine_blooms, brass_incense_holder, prayer_beads_sandalwood",scattered_organic_right,"jasmine_blooms_arabian, rose_petals_soft, amber_resin_small, musk_crystals_white, sandalwood_prayer_beads",evening_prayer_home_sanctuary,hajj_pilgrimage_journey,medina_mosque_garden_jasmine,golden_tan_C9A87C,white_cotton_embroidered,grounded_presence,"spiritual, sacred, floral, centered, traditional, peaceful, paradise","3,4,10,13","jasmine-white, petal-soft, centered, whisper-close, blooms, sacred, peaceful, paradise",conscious_custodian_both,integrity_alignment_truth,"spiritual_connection, meditation_ritual, special_occasion, daily_prayer","prayer, spiritual, ramadan, eid, meditation, islamic_tradition, peaceful",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Jasmine, Bergamot","Rose, Amber, Musk","Sandalwood, Musk, Amber",8-10,"Intimate sillage, floral and peaceful",humanities_floral_master,"mobile_hero_vertical, product_page_clean, social_square_1x1"
vanilla-sands,Vanilla Sands,humanities,warm_gourmand_sweet,humanities_warm_platform,weathered_sandstone_beige_terracotta_veining,desert_sands,1,conscious_custodianship,"vanilla_cream_FFF8DC, sandstone_beige_D8C8A9, honey_gold_FFC30B, deep_charcoal_2F2A26",chiaroscuro_golden_hour_3500K,upper_left_45_degrees,f2.8,centered_hero_30pct_negative_space,1:1_square,deep_warm_dramatic,studio_editorial_packshot,YES,YES,YES,NO,NO,YES,"vanilla_beans_madagascar_large, brass_bowl_honey, amber_resin",left_foreground,"vanilla_beans_premium, honey_raw_comb, tonka_beans, sandalwood_chips, brass_mortar_vintage",evening_dessert_cozy_home,none,desert_oasis_date_palms_sunset,warm_medium_brown_A67C52,raw_linen_cream,conscious_custodianship,"sweet, comforting, warm, gourmand, principled, cozy, enveloping","2,6,12,14","vanilla-laced, honeyed, sun-warmed, sweet, enveloping, golden-hour, cozy, warm",emily_essentialist,quality_provenance_minimalism,"fall_winter_warmth, comfort_scent, daily_elegance, evening_relaxation","cold_weather, comfort, cozy, evening, dessert_lover, sweet_gourmand, relaxation",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Vanilla, Honey","Sandalwood, Tonka Bean","Vanilla, Amber, Musk",8-10,"Intimate sillage, sweet and comforting",humanities_warm_master,"mobile_hero_vertical, product_page_clean, social_square_1x1"
kush,Kush,humanities,woody_earthy_deep,humanities_woody_platform,raw_fractured_sandstone_moss_cracks,mountain_vistas,4,quiet_rebellion,"forest_green_228B22, stone_gray_7A7A7A, earth_brown_8B4513, charcoal_2F2A26",overcast_natural_4500K,side_lighting_left_dramatic,f5.6,centered_hero_dark_moody,1:1_square,deep_noir_mysterious,studio_editorial_packshot,YES,YES,YES,NO,YES,NO,"patchouli_leaves_dried, stone_mortar_rough, moss_forest_floor",left_foreground_organic,"patchouli_leaves_indonesian, vetiver_roots_dried, oakmoss_dried, pine_needles, stone_mortar_ancient, leather_cord",evening_meditation_forest_cabin,none,himalayan_forest_mountain_trail,none,forest_green_wool_felt,quiet_rebellion,"earthy, grounding, primal, natural, uncompromising, deep, meditative","8,9,13,14","loamy, mossy, forest-floor, patchouli-dark, earthy, grounded, primal, ancient-earth",elias_aesthete,story_emotion_complexity,"meditation_ritual, evening_sophistication, fall_winter_warmth, grounding","meditation, hiking, nature_lover, earthy_scent, grounding, masculine_natural",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Patchouli, Vetiver","Oakmoss, Cedar","Patchouli, Musk, Amber",10-12,"Grounded presence, earthy and deep",humanities_woody_master,"product_page_clean, social_square_1x1, email_header_banner"
china-rain,China Rain,humanities,fresh_aquatic_clean,humanities_fresh_platform,smooth_concrete_limestone_cool_gray,mediterranean_waters,2,grounded_presence,"rain_gray_B0C4DE, linen_white_F5F5F0, stone_gray_7A7A7A, bamboo_green_9ACD32",coastal_morning_5000K,soft_top_frontal,f4.0,centered_hero_clean_modern,4:5_mobile_vertical,soft_minimal_clean,studio_editorial_packshot,YES,YES,YES,NO,NO,YES,"bamboo_stalks_small, river_stones_smooth, linen_cloth",right_side_geometric,"bamboo_leaves_dried, river_stones_smooth, linen_cloth_white, rain_water_vial, lotus_petals_dried",morning_rain_garden_meditation,none,chinese_garden_misty_morning,none,white_linen_natural,grounded_presence,"fresh, clean, rain, centered, peaceful, minimal, airy","4,7,12,13","crisp, rain-soaked, clean, fresh, centered, peaceful, breath-near, airy",conscious_custodian_both,integrity_alignment_truth,"spring_summer_fresh, meditation_ritual, daily_elegance, professional_setting","spring, rain_lover, clean_fresh, meditation, morning_ritual, professional, peaceful",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"Rain Accord, Ozone","Lily, Bamboo","White Musk, Clean Cotton",6-8,"Intimate sillage, fresh and clean",humanities_fresh_master,"mobile_hero_vertical, product_page_clean, social_square_1x1"
white-amber,White Amber,humanities,warm_amber_elegant,humanities_warm_platform,weathered_sandstone_beige_terracotta_veining,desert_sands,1,conscious_custodianship,"white_amber_FFF5EE, sandstone_beige_D8C8A9, soft_gold_FFD700, subtle_shadow_D3D3D3",chiaroscuro_golden_hour_3500K,upper_left_45_degrees,f2.8,centered_hero_30pct_negative_space,1:1_square,deep_warm_dramatic,studio_editorial_packshot,YES,YES,YES,NO,NO,YES,"white_amber_resin_translucent, brass_bowl_elegant, vanilla_beans",left_foreground,"white_amber_resin, vanilla_beans, soft_florals_dried, musk_crystals_white, brass_bowl_hammered",evening_elegant_dinner_candlelit,none,desert_palace_white_marble_courtyard,golden_tan_C9A87C,cream_silk_elegant,conscious_custodianship,"elegant, warm, refined, soft, principled, graceful, timeless","2,4,6,14","amber-warm, soft, whisper-close, elegant, vanilla-laced, refined, burnished, trust-based",emily_essentialist,quality_provenance_minimalism,"evening_sophistication, special_occasion, signature_scent, elegant_feminine","special_occasion, evening, elegant, feminine_sophisticated, date_night, refined",From the Humanities Collection—hand-blended with natural ingredients and modern aromachemicals for depth and longevity.,hand_blended,natural_ingredients_plus_aromachemicals,"White Amber, Bergamot","Jasmine, Vanilla","White Amber, Musk, Sandalwood",8-10,"Intimate sillage, elegant and warm",humanities_warm_master,"mobile_hero_vertical, product_page_clean, social_square_1x1"
